transaction_id,reference,amount,date,status
TXN0001,TXN0001,799,2026-08-01,SETTLED
TXN0002,TXN0002,1999,2026-08-08,SETTLED
TXN0003,TXN0003,1499,2026-08-05,SETTLED
TXN0004,TXN0004,799,2026-08-18,SETTLED
TXN0005,TXN0005,799,2026-08-19,SETTLED
TXN0006,TXN0006,4999,2026-08-02,SETTLED
TXN0007,TXN0007,499,2026-08-03,SETTLED
TXN0008,TXN0008,1499,2026-08-08,SETTLED
TXN0009,TXN0009,499,2026-08-18,SETTLED
TXN0010,TXN0010,1499,2026-08-21,SETTLED
TXN0011,TXN0011,4999,2026-08-08,SETTLED
TXN0012,TXN0012,9999,2026-08-19,SETTLED
TXN0013,TXN0013,1999,2026-08-01,SETTLED
TXN0014,TXN0014,999,2026-08-14,SETTLED
TXN0015,PAY-0015,2499,2026-08-09,SETTLED
TXN0016,TXN0016,999,2026-08-07,SETTLED
TXN0017,TXN0017,2499,2026-08-04,SETTLED
TXN0018,TXN0018,799,2026-08-13,SETTLED
TXN0019,TXN0019,799,2026-08-12,SETTLED
TXN0020,TXN0020,2399,2026-08-20,SETTLED
TXN0021,TXN0021,1999,2026-08-02,SETTLED
TXN0022,TXN0022,9999,2026-08-18,SETTLED
TXN0023,TXN0023,799,2026-08-13,SETTLED
TXN0024,TXN0024,799,2026-08-18,SETTLED
TXN0026,TXN0026,2499,2026-08-19,SETTLED
TXN0027,TXN0027,1499,2026-08-03,SETTLED
TXN0028,TXN0028,499,2026-08-08,SETTLED
TXN0029,TXN0029,1999,2026-08-03,SETTLED
TXN0030,PAY-0030,1499,2026-08-04,SETTLED
TXN0031,TXN0031,4999,2026-08-09,SETTLED
TXN0032,TXN0032,9999,2026-08-21,SETTLED
TXN0033,TXN0033,2499,2026-08-06,SETTLED
TXN0034,TXN0034,2499,2026-08-12,SETTLED
TXN0035,TXN0035,1499,2026-08-09,SETTLED
TXN0036,TXN0036,799,2026-08-20,SETTLED
TXN0037,TXN0037,999,2026-08-18,SETTLED
TXN0038,TXN0038,1499,2026-08-06,SETTLED
TXN0039,TXN0039,9999,2026-08-13,SETTLED
TXN0040,TXN0040,1899,2026-08-21,SETTLED
TXN0041,TXN0041,1499,2026-08-11,SETTLED
TXN0042,TXN0042,499,2026-08-08,SETTLED
TXN0043,TXN0043,499,2026-08-11,SETTLED
TXN0044,TXN0044,4999,2026-08-09,SETTLED
TXN0045,PAY-0045,799,2026-08-07,SETTLED
TXN0046,TXN0046,2499,2026-08-07,SETTLED
TXN0047,TXN0047,9999,2026-08-13,SETTLED
TXN0048,TXN0048,9999,2026-08-05,SETTLED
TXN0049,TXN0049,1999,2026-08-05,SETTLED
TXN0051,TXN0051,1999,2026-08-19,SETTLED
TXN0052,TXN0052,4999,2026-08-19,SETTLED
TXN0053,TXN0053,4999,2026-08-12,SETTLED
TXN0054,TXN0054,1499,2026-08-05,SETTLED
TXN0055,TXN0055,9999,2026-08-03,SETTLED
TXN0056,TXN0056,499,2026-08-04,SETTLED
TXN0057,TXN0057,999,2026-08-21,SETTLED
TXN0058,TXN0058,999,2026-08-14,SETTLED
TXN0059,TXN0059,799,2026-08-13,SETTLED
TXN0060,PAY-0060,4899,2026-08-20,SETTLED
TXN0061,TXN0061,9999,2026-08-17,SETTLED
TXN0062,TXN0062,1999,2026-08-18,SETTLED
TXN0063,TXN0063,499,2026-08-04,SETTLED
TXN0064,TXN0064,1999,2026-08-21,SETTLED
TXN0065,TXN0065,2499,2026-08-04,SETTLED
TXN0066,TXN0066,1999,2026-08-14,SETTLED
TXN0067,TXN0067,999,2026-08-15,SETTLED
TXN0068,TXN0068,499,2026-08-09,SETTLED
TXN0069,TXN0069,999,2026-08-17,SETTLED
TXN0070,TXN0070,799,2026-08-21,SETTLED
TXN0071,TXN0071,1999,2026-08-21,SETTLED
TXN0072,TXN0072,1499,2026-08-05,SETTLED
TXN0073,TXN0073,2499,2026-08-06,SETTLED
TXN0074,TXN0074,499,2026-08-20,SETTLED
TXN0076,TXN0076,499,2026-08-04,SETTLED
TXN0077,TXN0077,2499,2026-08-10,SETTLED
TXN0078,TXN0078,1499,2026-08-02,SETTLED
TXN0079,TXN0079,1499,2026-08-19,SETTLED
TXN0080,TXN0080,699,2026-08-03,SETTLED
TXN0081,TXN0081,9999,2026-08-03,SETTLED
TXN0082,TXN0082,999,2026-08-05,SETTLED
TXN0083,TXN0083,9999,2026-08-18,SETTLED
TXN0084,TXN0084,999,2026-08-09,SETTLED
TXN0085,TXN0085,4999,2026-08-07,SETTLED
TXN0086,TXN0086,1499,2026-08-10,SETTLED
TXN0087,TXN0087,4999,2026-08-21,SETTLED
TXN0088,TXN0088,2499,2026-08-15,SETTLED
TXN0089,TXN0089,9999,2026-08-04,SETTLED
TXN0090,PAY-0090,1499,2026-08-08,SETTLED
TXN0091,TXN0091,799,2026-08-11,SETTLED
TXN0092,TXN0092,499,2026-08-19,SETTLED
TXN0093,TXN0093,1499,2026-08-19,SETTLED
TXN0094,TXN0094,1499,2026-08-01,SETTLED
TXN0095,TXN0095,799,2026-08-21,SETTLED
TXN0096,TXN0096,499,2026-08-08,SETTLED
TXN0097,TXN0097,799,2026-08-02,SETTLED
TXN0098,TXN0098,2499,2026-08-03,SETTLED
TXN0099,TXN0099,1499,2026-08-09,SETTLED
TXN0030,TXN0030-DUP,999,2026-08-10,SETTLED
