transaction_id,reference,amount,date,status
TXN0001,TXN0001,799,2026-08-05,RECORDED
TXN0002,TXN0002,499,2026-08-17,RECORDED
TXN0003,TXN0003,1999,2026-08-16,RECORDED
TXN0004,TXN0004,1499,2026-08-03,RECORDED
TXN0005,TXN0005,1499,2026-08-25,RECORDED
TXN0006,TXN0006,999,2026-08-02,RECORDED
TXN0007,TXN0007,799,2026-08-28,RECORDED
TXN0008,TXN0008,7999,2026-08-04,RECORDED
TXN0009,TXN0009,799,2026-08-05,RECORDED
TXN0010,TXN0010,2999,2026-08-21,RECORDED
TXN0011,TXN0011,499,2026-08-06,RECORDED
TXN0012,TXN0012,499,2026-08-26,RECORDED
TXN0013,TXN0013,799,2026-08-22,RECORDED
TXN0014,TXN0014,1499,2026-08-14,RECORDED
TXN0015,TXN0015,1499,2026-08-20,RECORDED
TXN0016,TXN0016,7999,2026-08-03,RECORDED
TXN0017,TXN0017,499,2026-08-13,RECORDED
TXN0018,TXN0018,7999,2026-08-13,RECORDED
TXN0019,TXN0019,1499,2026-08-20,RECORDED
TXN0020,TXN0020,7999,2026-08-15,RECORDED
TXN0021,TXN0021,2999,2026-08-17,RECORDED
TXN0022,TXN0022,1499,2026-08-09,RECORDED
TXN0023,TXN0023,4999,2026-08-18,RECORDED
TXN0024,TXN0024,1999,2026-08-28,RECORDED
TXN0025,TXN0025,499,2026-08-31,RECORDED
TXN0026,TXN0026,999,2026-08-01,RECORDED
TXN0027,TXN0027,2999,2026-08-22,RECORDED
TXN0028,TXN0028,2499,2026-08-24,RECORDED
TXN0029,TXN0029,1999,2026-08-04,RECORDED
TXN0030,TXN0030,999,2026-08-22,RECORDED
TXN0031,TXN0031,1499,2026-08-29,RECORDED
TXN0032,TXN0032,2499,2026-08-18,RECORDED
TXN0033,TXN0033,799,2026-08-25,RECORDED
TXN0034,TXN0034,799,2026-08-09,RECORDED
TXN0035,TXN0035,2999,2026-08-25,RECORDED
TXN0036,TXN0036,799,2026-08-21,RECORDED
TXN0037,TXN0037,2499,2026-08-11,RECORDED
TXN0038,TXN0038,2499,2026-08-04,RECORDED
TXN0039,TXN0039,1999,2026-08-10,RECORDED
TXN0040,TXN0040,499,2026-08-14,RECORDED
TXN0041,TXN0041,4999,2026-08-06,RECORDED
TXN0042,TXN0042,7999,2026-08-15,RECORDED
TXN0043,TXN0043,799,2026-08-01,RECORDED
TXN0044,TXN0044,2999,2026-08-31,RECORDED
TXN0045,TXN0045,799,2026-08-24,RECORDED
TXN0046,TXN0046,7999,2026-08-29,RECORDED
TXN0047,TXN0047,1999,2026-08-24,RECORDED
TXN0048,TXN0048,2499,2026-08-09,RECORDED
TXN0049,TXN0049,1499,2026-08-17,RECORDED
TXN0050,TXN0050,799,2026-08-25,RECORDED
TXN0051,TXN0051,499,2026-08-06,RECORDED
TXN0052,TXN0052,1499,2026-08-17,RECORDED
TXN0053,TXN0053,1999,2026-08-30,RECORDED
TXN0054,TXN0054,799,2026-08-04,RECORDED
TXN0055,TXN0055,1499,2026-08-28,RECORDED
TXN0056,TXN0056,799,2026-08-21,RECORDED
TXN0057,TXN0057,2999,2026-08-10,RECORDED
TXN0058,TXN0058,1999,2026-08-27,RECORDED
TXN0059,TXN0059,4999,2026-08-21,RECORDED
TXN0060,TXN0060,2499,2026-08-17,RECORDED
TXN0061,TXN0061,999,2026-08-20,RECORDED
TXN0062,TXN0062,2499,2026-08-07,RECORDED
TXN0063,TXN0063,2499,2026-08-05,RECORDED
TXN0064,TXN0064,1499,2026-08-12,RECORDED
TXN0065,TXN0065,1999,2026-08-25,RECORDED
TXN0066,TXN0066,799,2026-08-06,RECORDED
TXN0067,TXN0067,999,2026-08-18,RECORDED
TXN0068,TXN0068,7999,2026-08-31,RECORDED
TXN0069,TXN0069,1499,2026-08-25,RECORDED
TXN0070,TXN0070,999,2026-08-30,RECORDED
TXN0071,TXN0071,4999,2026-08-17,RECORDED
TXN0072,TXN0072,2999,2026-08-30,RECORDED
TXN0073,TXN0073,1999,2026-08-01,RECORDED
TXN0074,TXN0074,7999,2026-08-20,RECORDED
TXN0075,TXN0075,1499,2026-08-11,RECORDED
TXN0076,TXN0076,2499,2026-08-16,RECORDED
TXN0077,TXN0077,499,2026-08-01,RECORDED
TXN0078,TXN0078,1499,2026-08-04,RECORDED
TXN0079,TXN0079,499,2026-08-30,RECORDED
TXN0080,TXN0080,2499,2026-08-12,RECORDED
TXN0081,TXN0081,2999,2026-08-29,RECORDED
TXN0082,TXN0082,1999,2026-08-27,RECORDED
TXN0083,TXN0083,799,2026-08-26,RECORDED
TXN0084,TXN0084,1499,2026-08-10,RECORDED
TXN0085,TXN0085,2499,2026-08-08,RECORDED
TXN0086,TXN0086,1499,2026-08-02,RECORDED
TXN0087,TXN0087,4999,2026-08-08,RECORDED
TXN0088,TXN0088,2999,2026-08-29,RECORDED
TXN0089,TXN0089,4999,2026-08-19,RECORDED
TXN0090,TXN0090,999,2026-08-31,RECORDED
TXN0091,TXN0091,1999,2026-08-03,RECORDED
TXN0092,TXN0092,999,2026-08-03,RECORDED
TXN0093,TXN0093,1499,2026-08-24,RECORDED
TXN0094,TXN0094,7999,2026-08-16,RECORDED
TXN0095,TXN0095,7999,2026-08-27,RECORDED
TXN0096,TXN0096,1999,2026-08-03,RECORDED
TXN0097,TXN0097,2999,2026-08-25,RECORDED
TXN0098,TXN0098,2999,2026-08-18,RECORDED
TXN0099,TXN0099,2499,2026-08-25,RECORDED
TXN0100,TXN0100,1499,2026-08-05,RECORDED
