transaction_id,reference,amount,date,status
TXN0001,TXN0001,799.0,2026-08-05,SUCCESS
TXN0002,TXN0002,499.0,2026-08-17,SUCCESS
TXN0003,TXN0003,1999.0,2026-08-16,SUCCESS
TXN0004,TXN0004,1499.0,2026-08-03,SUCCESS
TXN0005,TXN0005,1499.0,2026-08-25,SUCCESS
TXN0006,TXN0006,999.0,2026-08-02,SUCCESS
TXN0007,TXN0007,799.0,2026-08-28,SUCCESS
TXN0008,TXN0008,7999.0,2026-08-04,SUCCESS
TXN0009,TXN0009,799.0,2026-08-05,SUCCESS
TXN0010,TXN0010,2999.0,2026-08-21,SUCCESS
TXN0011,TXN0011,499.0,2026-08-06,SUCCESS
TXN0012,TXN0012,499.0,2026-08-26,SUCCESS
TXN0013,TXN0013,799.0,2026-08-22,SUCCESS
TXN0014,TXN0014,1499.0,2026-08-14,SUCCESS
TXN0015,TXN0015,1499.0,2026-08-20,SUCCESS
TXN0016,TXN0016,7999.0,2026-08-03,SUCCESS
TXN0017,TXN0017,499.0,2026-08-13,SUCCESS
TXN0018,TXN0018,7999.0,2026-08-13,FAILED
TXN0019,TXN0019,1499.0,2026-08-20,SUCCESS
TXN0020,TXN0020,7999.0,2026-08-15,SUCCESS
TXN0021,TXN0021,2999.0,2026-08-17,SUCCESS
TXN0022,TXN0022,1499.0,2026-08-09,SUCCESS
TXN0023,TXN0023,4999.0,2026-08-18,SUCCESS
TXN0024,TXN0024,1999.0,2026-08-28,SUCCESS
TXN0025,TXN0025,499.0,2026-08-31,SUCCESS
TXN0026,TXN0026,999.0,2026-08-01,SUCCESS
TXN0027,TXN0027,2999.0,2026-08-22,SUCCESS
TXN0028,TXN0028,2499.0,2026-08-24,SUCCESS
TXN0029,TXN0029,1999.0,2026-08-04,SUCCESS
TXN0030,TXN0030,999.0,2026-08-22,SUCCESS
TXN0031,TXN0031,1499.0,2026-08-29,SUCCESS
TXN0032,TXN0032,2499.0,2026-08-18,SUCCESS
TXN0033,TXN0033,799.0,2026-08-25,SUCCESS
TXN0034,TXN0034,799.0,2026-08-09,SUCCESS
TXN0035,TXN0035,2999.0,2026-08-25,SUCCESS
TXN0036,TXN0036,799.0,2026-08-21,SUCCESS
